"order","lemma","transitive_frequency","transitive_ipm"
478,"zadat",1326,13.1497305673758
479,"dosáhnout",1325,13.1398137268272
480,"prosazovat",1321,13.100146364633
481,"přimět",1320,13.0902295240845
482,"povolit",1318,13.0703958429874
483,"stačit",1315,13.0406453213417
484,"pozvednout",1314,13.0307284807932
485,"prozradit",1313,13.0208116402446
486,"zmínit",1313,13.0208116402446
487,"půjčit",1309,12.9811442780504
488,"rozumět",1309,12.9811442780504
489,"udělit",1308,12.9712274375019
490,"vlastnit",1308,12.9712274375019
491,"přitisknout",1306,12.9513937564048
492,"vyzvat",1306,12.9513937564048
493,"prosit",1300,12.8918927131135
494,"sdělit",1295,12.8423085103708
495,"vyvíjet",1295,12.8423085103708
496,"zaujímat",1295,12.8423085103708
497,"čerpat",1294,12.8323916698222
498,"pěstovat",1292,12.8125579887251
499,"uvařit",1292,12.8125579887251
500,"ohrozit",1286,12.7530569454338
501,"vrhnout",1279,12.683639061594
502,"předvádět",1277,12.6638053804969
503,"vyhodit",1275,12.6439716993998
504,"rozšiřovat",1273,12.6241380183027
505,"předávat",1270,12.594387496657
506,"vyslechnout",1270,12.594387496657
507,"porušit",1270,12.594387496657
508,"prezentovat",1269,12.5844706561085
509,"přivítat",1269,12.5844706561085
510,"vysílat",1268,12.5745538155599
511,"narušit",1268,12.5745538155599
512,"zabrat",1268,12.5745538155599
513,"posilovat",1267,12.5646369750114
514,"přenést",1257,12.4654685695259
515,"doporučit",1256,12.4555517289773
516,"vracet",1252,12.4158843667832
517,"srazit",1249,12.3861338451375
518,"připsat",1249,12.3861338451375
519,"snést",1242,12.3167159612977
520,"vynechat",1242,12.3167159612977
521,"jet",1234,12.2373812369093
522,"shánět",1231,12.2076307152636
523,"tisknout",1230,12.1977138747151
524,"prohrát",1229,12.1877970341665
525,"zapomenout",1228,12.177880193618
526,"vybojovat",1225,12.1481296719723
527,"procházet",1222,12.1183791503267
528,"organizovat",1220,12.0985454692296
529,"uplatnit",1216,12.0588781070354
530,"šetřit",1215,12.0489612664868
531,"opravit",1215,12.0489612664868
532,"ignorovat",1213,12.0291275853897
533,"minout",1210,11.9993770637441
534,"vyhledávat",1207,11.9696265420985
535,"vznikat",1207,11.9696265420985
536,"stavit",1195,11.8506244555159
537,"dopadnout",1193,11.8307907744188
538,"pouštět",1188,11.781206571676
539,"vyloučit",1186,11.7613728905789
540,"zvažovat",1184,11.7415392094818
541,"vylepšit",1184,11.7415392094818
542,"dojít",1183,11.7316223689333
543,"nazvat",1182,11.7217055283847
544,"odhadnout",1179,11.6919550067391
545,"dělit",1178,11.6820381661905
546,"sníst",1160,11.5035350363167
547,"ukládat",1158,11.4837013552196
548,"zakázat",1158,11.4837013552196
549,"přiznat",1152,11.4242003119283
550,"usnadnit",1151,11.4142834713797
551,"točit",1148,11.3845329497341
552,"přenášet",1148,11.3845329497341
553,"dozvědět",1147,11.3746161091855
554,"otvírat",1145,11.3547824280884
555,"zakrývat",1144,11.3448655875399
556,"zavírat",1144,11.3448655875399
557,"schovat",1143,11.3349487469913
558,"produkovat",1142,11.3250319064428
559,"odhodit",1141,11.3151150658942
560,"vymýšlet",1135,11.2556140226029
561,"jezdit",1121,11.1167782549233
562,"odstartovat",1119,11.0969445738262
563,"zřídit",1112,11.0275266899863
564,"zaplnit",1110,11.0076930088892
565,"identifikovat",1109,10.9977761683407
566,"pronést",1108,10.9878593277921
567,"pokračovat",1107,10.9779424872436
568,"shrnout",1106,10.968025646695
569,"převést",1106,10.968025646695
570,"dorazit",1106,10.968025646695
571,"rušit",1105,10.9581088061465
572,"hájit",1103,10.9382751250494
573,"naznačovat",1099,10.8986077628552
574,"dodržet",1097,10.8787740817581
575,"rozpoznat",1091,10.8192730384668
576,"šířit",1088,10.7895225168211
577,"přebírat",1086,10.769688835724
578,"vyčistit",1086,10.769688835724
579,"přejet",1085,10.7597719951755
580,"sklonit",1085,10.7597719951755
581,"podstoupit",1085,10.7597719951755
582,"upoutat",1083,10.7399383140784
583,"uzavírat",1079,10.7002709518842
584,"sepsat",1077,10.6804372707871
585,"svěřit",1067,10.5812688653016
586,"ničit",1064,10.551518343656
587,"rozeznat",1063,10.5416015031074
588,"analyzovat",1058,10.4920173003647
589,"zachovávat",1058,10.4920173003647
590,"zpracovávat",1056,10.4721836192676
591,"zabírat",1055,10.462266778719
592,"upřít",1052,10.4325162570734
593,"uvažovat",1050,10.4126825759763
594,"dovést",1049,10.4027657354277
595,"přesahovat",1047,10.3829320543306
596,"zdůrazňovat",1047,10.3829320543306
597,"vítat",1042,10.3333478515879
598,"vyzvednout",1041,10.3234310110393
599,"projet",1041,10.3234310110393
600,"líčit",1041,10.3234310110393
601,"vypustit",1040,10.3135141704908
602,"vytahovat",1038,10.2936804893937
603,"pojmout",1036,10.2738468082966
604,"vrhat",1036,10.2738468082966
605,"upírat",1032,10.2341794461024
606,"zastupovat",1029,10.2044289244568
607,"přilákat",1028,10.1945120839082
608,"vstřelit",1024,10.154844721714
609,"bolet",1022,10.1350110406169
610,"střídat",1020,10.1151773595198
611,"oživit",1019,10.1052605189713
612,"zůstávat",1018,10.0953436784227
613,"podniknout",1017,10.0854268378742
614,"zbavit",1017,10.0854268378742
615,"čistit",1015,10.0655931567771
616,"zachycovat",1013,10.04575947568
617,"komplikovat",1010,10.0160089540343
618,"odvádět",1008,9.99617527293724
619,"počkat",1005,9.96642475129159
620,"spouštět",1005,9.96642475129159
621,"růst",1002,9.93667422964594
622,"trefit",1002,9.93667422964594
623,"stihnout",1002,9.93667422964594
624,"zhodnotit",999,9.9069237080003
625,"aplikovat",998,9.89700686745175
626,"uznat",996,9.87717318635465
627,"trénovat",995,9.8672563458061
628,"vydělat",995,9.8672563458061
629,"pomoci",990,9.81767214306336
630,"spravovat",987,9.78792162141771
631,"podařit",982,9.73833741867497
632,"nahrazovat",978,9.69867005648077
633,"přesunout",977,9.68875321593222
634,"vytrhnout",974,9.65900269428657
635,"míjet",974,9.65900269428657
636,"vysloužit",971,9.62925217264093
637,"nabírat",969,9.60941849154383
638,"odhalovat",968,9.59950165099528
639,"zakládat",962,9.54000060770399
640,"zakoupit",961,9.53008376715544
641,"kombinovat",961,9.53008376715544
642,"vzdát",961,9.53008376715544
643,"ujít",961,9.53008376715544
644,"ozvat",960,9.52016692660689
645,"poznávat",957,9.49041640496124
646,"zapsat",955,9.47058272386415
647,"hlásit",954,9.4606658833156
648,"ochránit",952,9.4408322022185
649,"zaznamenávat",952,9.4408322022185
650,"vyšetřovat",950,9.4209985211214
651,"darovat",950,9.4209985211214
652,"upozornit",948,9.40116484002431
653,"zdvihnout",945,9.37141431837866
654,"zahnat",945,9.37141431837866
655,"políbit",945,9.37141431837866
656,"udávat",938,9.30199643453882
657,"zeptat",935,9.27224591289317
658,"zobrazit",932,9.24249539124752
659,"vykládat",932,9.24249539124752
660,"nakupovat",931,9.23257855069897
661,"zaplavit",930,9.22266171015043
662,"tlačit",928,9.20282802905333
663,"zlepšovat",924,9.16316066685913
664,"hrozit",924,9.16316066685913
665,"preferovat",919,9.11357646411639
666,"probírat",918,9.10365962356784
667,"znít",918,9.10365962356784
668,"vozit",916,9.08382594247074
669,"zakončit",916,9.08382594247074
670,"prozkoumat",915,9.07390910192219
671,"odevzdat",915,9.07390910192219
672,"vystavit",914,9.06399226137364
673,"obléknout",914,9.06399226137364
674,"přehodit",913,9.05407542082509
675,"nutit",912,9.04415858027655
676,"vykonat",911,9.034241739728
677,"změřit",910,9.02432489917945
678,"vážit",909,9.0144080586309
679,"unést",907,8.9945743775338
680,"publikovat",905,8.9747406964367
681,"investovat",903,8.95490701533961
682,"ohlásit",899,8.91523965314541
683,"zmírnit",898,8.90532281259686
684,"nastartovat",898,8.90532281259686
685,"přivolat",896,8.88548913149977
686,"ověřit",895,8.87557229095122
687,"uchovat",888,8.80615440711138
688,"přizpůsobit",887,8.79623756656282
689,"donést",886,8.78632072601428
690,"zaručovat",885,8.77640388546573
691,"nakoupit",884,8.76648704491718
692,"naplňovat",882,8.74665336382008
693,"rozlišovat",881,8.73673652327153
694,"uplatňovat",879,8.71690284217443
695,"obhájit",879,8.71690284217443
696,"poslechnout",878,8.70698600162589
697,"podržet",875,8.67723547998024
698,"vyřídit",874,8.66731863943169
699,"odpustit",868,8.6078175961404
700,"věřit",867,8.59790075559185
701,"rozdávat",865,8.57806707449475
702,"zobrazovat",864,8.5681502339462
703,"léčit",864,8.5681502339462
704,"spát",863,8.55823339339765
705,"ochutnat",863,8.55823339339765
706,"vrazit",862,8.5483165528491
707,"vychutnávat",862,8.5483165528491
708,"zapojit",860,8.52848287175201
709,"financovat",860,8.52848287175201
710,"viset",859,8.51856603120346
711,"překračovat",859,8.51856603120346
712,"posuzovat",859,8.51856603120346
713,"formulovat",858,8.50864919065491
714,"zhasnout",858,8.50864919065491
715,"pojmenovat",858,8.50864919065491
716,"předcházet",857,8.49873235010636
717,"uvítat",857,8.49873235010636
718,"vychovávat",855,8.47889866900926
719,"obejmout",855,8.47889866900926
720,"malovat",849,8.41939762571797
721,"zkrátit",849,8.41939762571797
722,"natáčet",849,8.41939762571797
723,"uspokojit",848,8.40948078516942
724,"rozložit",848,8.40948078516942
725,"citovat",845,8.37973026352377
726,"umýt",845,8.37973026352377
727,"narušovat",845,8.37973026352377
728,"poznamenat",841,8.34006290132958
729,"předstírat",839,8.32022922023248
730,"pohladit",839,8.32022922023248
731,"vkládat",838,8.31031237968393
732,"kouřit",833,8.26072817694119
733,"překonávat",832,8.25081133639264
734,"vyložit",829,8.22106081474699
735,"vyrovnat",827,8.20122713364989
736,"popíjet",826,8.19131029310135
737,"přepadnout",824,8.17147661200425
738,"riskovat",824,8.17147661200425
739,"vychutnat",822,8.15164293090715
740,"usnadňovat",817,8.10205872816441
