"order","lemma","total_frequency","total_ipm"
605,"odehrávat",4121,40.8672999005698
606,"podotknout",4106,40.7185472923416
607,"zařídit",4093,40.5896283652104
608,"tlačit",4090,40.5598778435648
609,"umírat",4089,40.5499610030162
610,"lhát",4075,40.4111252353365
611,"domluvit",4046,40.1235368594286
612,"přecházet",4045,40.1136200188801
613,"šířit",4043,40.093786337783
614,"absolvovat",4041,40.0739526566859
615,"navrhovat",4037,40.0342852944917
616,"zadívat",4035,40.0144516133946
617,"přesunout",4028,39.9450337295547
618,"způsobovat",4028,39.9450337295547
619,"vyhovovat",4011,39.7764474402294
620,"naznačit",3992,39.588027469807
621,"schovat",3988,39.5483601076128
622,"zabrat",3961,39.280605412802
623,"popadnout",3953,39.2012706884136
624,"objednat",3951,39.1814370073165
625,"utíkat",3939,39.0624349207339
626,"zopakovat",3906,38.7351791826318
627,"vstupovat",3901,38.685594979889
628,"přimět",3890,38.576509733855
629,"navázat",3888,38.5566760527579
630,"vyhýbat",3884,38.5170086905637
631,"uvěřit",3876,38.4376739661753
632,"vyskočit",3874,38.4178402850782
633,"doprovázet",3870,38.378172922884
634,"provozovat",3865,38.3285887201413
635,"vyjet",3853,38.2095866335587
636,"cestovat",3852,38.1996697930102
637,"živit",3846,38.1401687497189
638,"radit",3831,37.9914161414906
639,"dotýkat",3828,37.961665619845
640,"strčit",3825,37.9319150981993
641,"zanechat",3825,37.9319150981993
642,"hlídat",3822,37.9021645765537
643,"zlobit",3822,37.9021645765537
644,"nazvat",3801,37.6939109250342
645,"ujistit",3795,37.6344098817429
646,"doporučit",3749,37.1782352165096
647,"kouřit",3730,36.9898152460872
648,"nenávidět",3724,36.9303142027959
649,"ovládnout",3702,36.7121437107278
650,"povolit",3695,36.642725826888
651,"obdržet",3695,36.642725826888
652,"projet",3690,36.5931416241452
653,"obsadit",3679,36.4840563781112
654,"přispívat",3678,36.4741395375626
655,"pouštět",3674,36.4344721753685
656,"ukrást",3670,36.3948048131743
657,"vyzvat",3660,36.2956364076888
658,"stisknout",3659,36.2857195671402
659,"zdůraznit",3657,36.2658858860431
660,"proniknout",3652,36.2163016833004
661,"pocítit",3650,36.1964680022033
662,"váhat",3644,36.136966958912
663,"zvyknout",3637,36.0675490750722
664,"naslouchat",3634,36.0377985534265
665,"usilovat",3631,36.0080480317809
666,"inspirovat",3629,35.9882143506838
667,"uspořádat",3624,35.938630147941
668,"přidávat",3621,35.9088796262954
669,"zapomínat",3615,35.8493785830041
670,"mívat",3605,35.7502101775186
671,"určovat",3598,35.6807922936787
672,"sdílet",3592,35.6212912503875
673,"obdivovat",3588,35.5816238881933
674,"mínit",3584,35.5419565259991
675,"omlouvat",3582,35.522122844902
676,"odpustit",3575,35.4527049610621
677,"vystavit",3559,35.2940355122853
678,"stydět",3555,35.2543681500911
679,"ponechat",3554,35.2444513095426
680,"přiznávat",3549,35.1948671067998
681,"provázet",3545,35.1551997446057
682,"komentovat",3539,35.0956987013144
683,"předstírat",3537,35.0758650202173
684,"vítat",3529,34.9965302958289
685,"respektovat",3508,34.7882766443093
686,"opravit",3507,34.7783598037608
687,"panovat",3504,34.7486092821152
688,"třást",3504,34.7486092821152
689,"trefit",3499,34.6990250793724
690,"plynout",3494,34.6494408766297
691,"sundat",3493,34.6395240360811
692,"zveřejnit",3471,34.421353544013
693,"nadechnout",3449,34.203183051945
694,"přenést",3433,34.0445136031682
695,"mizet",3428,33.9949294004254
696,"rozhlédnout",3422,33.9354283571341
697,"všímat",3411,33.8263431111001
698,"přestávat",3402,33.7370915461632
699,"odhadovat",3400,33.7172578650661
700,"navštěvovat",3388,33.5982557784835
701,"trénovat",3387,33.5883389379349
702,"propadnout",3379,33.5090042135465
703,"zdůrazňovat",3369,33.4098358080611
704,"odsoudit",3368,33.3999189675125
705,"střílet",3360,33.3205842431241
706,"obracet",3360,33.3205842431241
707,"zapálit",3357,33.2908337214785
708,"posloužit",3352,33.2412495187357
709,"opírat",3350,33.2214158376386
710,"čelit",3343,33.1519979537988
711,"mrzet",3340,33.1222474321531
712,"dopustit",3338,33.102413751056
713,"přizpůsobit",3336,33.0825800699589
714,"téci",3332,33.0429127077647
715,"sahat",3326,32.9834116644735
716,"sníst",3320,32.9239106211822
717,"přejet",3298,32.7057401291141
718,"ustoupit",3296,32.685906448017
719,"prezentovat",3294,32.6660727669199
720,"hádat",3292,32.6462390858228
721,"zamyslet",3283,32.5569875208859
722,"posílit",3277,32.4974864775946
723,"omezovat",3273,32.4578191154004
724,"vsadit",3273,32.4578191154004
725,"zpracovat",3257,32.2991496666236
726,"běhat",3248,32.2098981016866
727,"sevřít",3235,32.0809791745555
728,"vyrůstat",3234,32.071062334007
729,"zvládat",3232,32.0512286529099
730,"stoupnout",3229,32.0214781312642
731,"střídat",3224,31.9718939285215
732,"zaznít",3220,31.9322265663273
733,"překročit",3219,31.9223097257787
734,"ohrozit",3208,31.8132244797447
735,"házet",3203,31.763640277002
736,"rozloučit",3202,31.7537234364534
737,"zadržet",3201,31.7438065959049
738,"probrat",3190,31.6347213498708
739,"otáčet",3160,31.3372161334144
740,"kývnout",3153,31.2677982495745
741,"chutnat",3151,31.2479645684774
742,"napadat",3148,31.2182140468318
743,"vykazovat",3142,31.1587130035405
