order,lemma,frequency,ipm
"718","tradovat","422"
"719","vyprávět","421"
"720","oddávat","419"
"721","strachovat","419"
"722","umýt","418"
"723","bít","416"
"724","odpoutat","416"
"725","vzdělávat","415"
"726","vzpírat","415"
"727","přinutit","415"
"728","přátelit","414"
"729","vyjímat","414"
"730","vyhoupnout","413"
"731","obejmout","412"
"732","chechtat","411"
"733","srovnat","411"
"734","šklebit","411"
"735","ženit","410"
"736","vysvětlovat","410"
"737","uchytit","405"
"738","ochladit","405"
"739","pást","405"
"740","ustálit","405"
"741","bouřit","405"
"742","choulit","404"
"743","rozčílit","404"
"744","osprchovat","402"
"745","představovat","400"
"746","zapomínat","398"
"747","schylovat","397"
"748","ztotožnit","397"
"749","formovat","396"
"750","zorientovat","396"
"751","naštvat","395"
"752","vykoupat","394"
"753","potopit","394"
"754","stáčet","394"
"755","ohánět","393"
"756","zaobírat","392"
"757","zjevovat","391"
"758","pomodlit","389"
"759","poddat","388"
"760","vyplnit","388"
"761","vztekat","387"
"762","plavit","387"
"763","řinout","387"
"764","seběhnout","386"
"765","jíst","386"
"766","vystavovat","385"
"767","tísnit","385"
"768","objímat","385"
"769","přikrčit","383"
"770","vypracovat","382"
"771","přezdívat","382"
"772","zastavět","381"
"773","shromažďovat","379"
"774","sypat","378"
"775","vzchopit","378"
"776","provinit","378"
"777","zalesknout","378"
"778","podivovat","378"
"779","přehnat","377"
"780","přeměnit","377"
"781","uchechtnout","376"
"782","potápět","376"
"783","obořit","376"
"784","dovídat","376"
"785","projet","376"
"786","urazit","374"
"787","domlouvat","372"
"788","volit","372"
"789","prodloužit","371"
"790","distancovat","371"
"791","míchat","368"
"792","sesypat","368"
"793","uživit","368"
"794","chýlit","367"
"795","hodlat","367"
"796","činit","367"
"797","blýsknout","366"
"798","krýt","365"
"799","budovat","365"
"800","zdvojnásobit","365"
"801","rozbíhat","364"
"802","jmout","364"
"803","osvobodit","364"
"804","složit","364"
"805","rozeběhnout","363"
"806","vztyčit","363"
"807","koncentrovat","363"
"808","zamotat","363"
"809","vylučovat","362"
"810","kouřit","362"
"811","sbíhat","362"
"812","dovolat","360"
"813","získávat","360"
"814","dopracovat","360"
"815","rozpovídat","359"
"816","upínat","359"
"817","spát","357"
"818","zlíbit","356"
"819","protahovat","356"
"820","aplikovat","355"
"821","blýskat","355"
"822","zacházet","355"
"823","mazlit","354"
"824","chápat","353"
"825","stupňovat","352"
"826","vyřítit","351"
"827","vytrhnout","350"
"828","polekat","350"
"829","usídlit","350"
"830","vmísit","350"
"831","svítit","349"
"832","datovat","348"
"833","rozvádět","347"
"834","dobrat","346"
"835","zhoupnout","345"
"836","kutálet","345"
"837","budit","345"
"838","zaposlouchat","344"
"839","převalovat","343"
"840","dosáhnout","343"
"841","potloukat","343"
"842","shánět","343"
"843","krást","342"
"844","informovat","342"
"845","odstranit","341"
"846","rušit","341"
"847","sbírat","340"
"848","rozptýlit","340"
"849","zúčastňovat","340"
"850","přihnat","340"
"851","předhánět","339"
"852","vytáhnout","339"
"853","přemístit","339"
"854","obětovat","338"
"855","rozdělovat","337"
"856","vézt","337"
"857","rozlétnout","336"
"858","zvrtnout","336"
"859","zotavit","335"
"860","obléci","334"
"861","rozpínat","334"
"862","vytahovat","334"
"863","poohlédnout","333"
"864","rozmnožovat","333"
"865","rozpomenout","332"
"866","opravit","332"
"867","uvést","332"
