"order","lemma","reflexive_frequency","reflexive_ipm"
476,"stahovat",768,7.61613354128551
477,"zabít",767,7.60621670073696
478,"pohádat",765,7.58638301963987
479,"vídat",762,7.55663249799422
480,"snést",759,7.52688197634857
481,"realizovat",751,7.44754725196018
482,"třpytit",751,7.44754725196018
483,"odvažovat",750,7.43763041141163
484,"zastavovat",746,7.39796304921744
485,"spojovat",745,7.38804620866889
486,"přenášet",745,7.38804620866889
487,"zlomit",745,7.38804620866889
488,"nabídnout",744,7.37812936812034
489,"lepit",743,7.36821252757179
490,"rozčilovat",730,7.23929360044066
491,"rozvinout",730,7.23929360044066
492,"vymykat",729,7.22937675989211
493,"děsit",725,7.18970939769791
494,"obtěžovat",722,7.15995887605227
495,"prokázat",719,7.13020835440662
496,"zapomenout",719,7.13020835440662
497,"krčit",715,7.09054099221242
498,"mračit",714,7.08062415166388
499,"udržovat",711,7.05087363001823
500,"jezdit",708,7.02112310837258
501,"dopouštět",705,6.99137258672694
502,"zmenšovat",700,6.94178838398419
503,"zobrazit",700,6.94178838398419
504,"zašklebit",699,6.93187154343564
505,"vyřešit",696,6.90212102179
506,"tisknout",694,6.8822873406929
507,"přitisknout",694,6.8822873406929
508,"nechávat",694,6.8822873406929
509,"odtáhnout",692,6.8624536595958
510,"promítnout",691,6.85253681904725
511,"topit",690,6.8426199784987
512,"toulat",688,6.82278629740161
513,"poradit",688,6.82278629740161
514,"otvírat",687,6.81286945685306
515,"poprat",687,6.81286945685306
516,"splést",685,6.79303577575596
517,"myslet",685,6.79303577575596
518,"sehnout",681,6.75336841356176
519,"uzdravit",679,6.73353473246467
520,"prohánět",678,6.72361789191612
521,"zachytit",677,6.71370105136757
522,"zbavovat",673,6.67403368917337
523,"ukládat",672,6.66411684862482
524,"mihnout",662,6.56494844313934
525,"pohupovat",661,6.55503160259079
526,"zmenšit",658,6.52528108094514
527,"sebrat",657,6.51536424039659
528,"vysmívat",656,6.50544739984804
529,"vynořovat",651,6.4558631971053
530,"množit",651,6.4558631971053
531,"uvolňovat",651,6.4558631971053
532,"předklonit",650,6.44594635655675
533,"zachtít",650,6.44594635655675
534,"vytrácet",650,6.44594635655675
535,"uvažovat",649,6.4360295160082
536,"hromadit",644,6.38644531326546
537,"nosit",643,6.37652847271691
538,"rozbrečet",643,6.37652847271691
539,"zamyslit",642,6.36661163216836
540,"kouknout",640,6.34677795107126
541,"kroutit",638,6.32694426997416
542,"měřit",637,6.31702742942561
543,"odvolávat",631,6.25752638613432
544,"vléci",631,6.25752638613432
545,"propadat",630,6.24760954558577
546,"umět",628,6.22777586448867
547,"hroutit",627,6.21785902394013
548,"rozrůst",627,6.21785902394013
549,"ovládnout",627,6.21785902394013
550,"soudit",625,6.19802534284303
551,"nalézat",621,6.15835798064883
552,"rozcházet",620,6.14844114010028
553,"prolínat",616,6.10877377790609
554,"sevřít",615,6.09885693735754
555,"doslechnout",613,6.07902325626044
556,"zapojovat",613,6.07902325626044
557,"podrobit",613,6.07902325626044
558,"domáhat",612,6.06910641571189
559,"povalovat",611,6.05918957516334
560,"vyplácet",610,6.04927273461479
561,"převléknout",609,6.03935589406625
562,"ubytovat",609,6.03935589406625
563,"zachránit",607,6.01952221296915
564,"namáhat",607,6.01952221296915
565,"zamýšlet",606,6.0096053724206
