order,lemma,frequency
"882","ulevit","2571"
"883","pronikat","2568"
"884","vznášet","2567"
"885","šeptat","2564"
"886","unést","2563"
"887","malovat","2552"
"888","zastřelit","2551"
"889","připouštět","2549"
"890","ignorovat","2547"
"891","uplynout","2542"
"892","zastávat","2536"
"893","vypovídat","2534"
"894","přibývat","2532"
"895","zmocnit","2526"
"896","budit","2525"
"897","zobrazit","2524"
"898","zvažovat","2522"
"899","shrnout","2522"
"900","slušet","2519"
"901","zakrýt","2515"
"902","oslavit","2513"
"903","sestavit","2511"
"904","předcházet","2509"
"905","rozbít","2503"
"906","vyslat","2501"
"907","rozlišovat","2485"
"908","pozdravit","2476"
"909","identifikovat","2475"
"910","obléknout","2475"
"911","odvolat","2472"
"912","uchopit","2471"
"913","vypracovat","2464"
"914","zdobit","2458"
"915","vyběhnout","2451"
"916","reprezentovat","2449"
"917","postrádat","2449"
"918","vystudovat","2449"
"919","náležet","2448"
"920","zacházet","2439"
"921","utrpět","2438"
"922","přinutit","2436"
"923","pojmenovat","2435"
"924","probírat","2431"
"925","zakládat","2424"
"926","aplikovat","2423"
"927","vydělávat","2423"
"928","vzhlédnout","2423"
"929","děsit","2415"
"930","odjíždět","2410"
"931","ohrožovat","2406"
"932","přistupovat","2401"
"933","prodloužit","2398"
"934","přibližovat","2396"
"935","organizovat","2394"
"936","cvičit","2394"
"937","projíždět","2391"
"938","vymýšlet","2390"
"939","uvařit","2388"
"940","smířit","2387"
"941","vlastnit","2384"
"942","zatknout","2383"
"943","spadat","2382"
"944","pociťovat","2379"
"945","ohlédnout","2379"
"946","vstávat","2375"
"947","propojit","2375"
"948","tahat","2363"
"949","ponořit","2360"
"950","řvát","2358"
"951","schovávat","2357"
"952","vystřelit","2352"
"953","převést","2351"
"954","odvětit","2347"
"955","zazvonit","2346"
"956","pohladit","2343"
"957","zadat","2343"
"958","naložit","2337"
"959","líbat","2335"
"960","bít","2331"
"961","rozsvítit","2327"
"962","předávat","2326"
"963","pokrývat","2323"
"964","zahynout","2311"
"965","sehrát","2309"
"966","hladit","2302"
"967","vyžádat","2300"
"968","publikovat","2298"
"969","vyvést","2297"
"970","chytat","2296"
"971","odebrat","2294"
"972","ochránit","2288"
"973","zapnout","2284"
"974","klepnout","2281"
"975","zlepšovat","2277"
"976","udělit","2276"
"977","vyhledat","2273"
"978","potrestat","2271"
"979","nabrat","2271"
"980","zabíjet","2270"
"981","kombinovat","2269"
"982","brečet","2263"
"983","zaskočit","2260"
"984","narážet","2257"
"985","zřídit","2251"
"986","odpočinout","2247"
"987","vyzvednout","2247"
"988","mávat","2246"
"989","ujít","2246"
"990","otvírat","2245"
"991","vyndat","2236"
"992","oženit","2235"
"993","zavírat","2234"
"994","posilovat","2226"
"995","podléhat","2220"
"996","sídlit","2214"
"997","ohlásit","2213"
"998","natáčet","2213"
"999","vrhat","2209"
"1000","donést","2207"
"1001","krást","2205"
"1002","orientovat","2192"
"1003","vézt","2188"
"1004","hnout","2184"
"1005","ničit","2181"
"1006","vytrhnout","2180"
"1007","vyhovět","2176"
"1008","nakoupit","2171"
"1009","spáchat","2171"
"1010","vídat","2171"
"1011","rozhlížet","2171"
"1012","nahlédnout","2170"
"1013","honit","2169"
"1014","obtěžovat","2163"
"1015","zavěsit","2160"
"1016","vyčítat","2156"
"1017","míjet","2155"
"1018","přistát","2155"
"1019","nastupovat","2155"
"1020","přihodit","2154"
"1021","spočítat","2145"
"1022","uznávat","2142"
"1023","urazit","2140"
"1024","odtáhnout","2140"
"1025","produkovat","2140"
"1026","tajit","2138"
"1027","odpočívat","2124"
"1028","porozumět","2118"
"1029","zažívat","2117"
"1030","citovat","2116"
"1031","kroutit","2113"
"1032","vrazit","2111"
"1033","opatřit","2107"
"1034","hájit","2106"
"1035","těžit","2105"
"1036","skákat","2104"
"1037","chytnout","2104"
"1038","přiložit","2096"
"1039","vozit","2094"
"1040","zpracovávat","2092"
"1041","lámat","2089"
"1042","vykročit","2080"
"1043","dotáhnout","2078"
"1044","vyhrknout","2077"
"1045","zalít","2075"
"1046","shánět","2075"
"1047","nadávat","2075"
"1048","pečovat","2074"
"1049","rozpoznat","2072"
"1050","odstartovat","2072"
"1051","vystavovat","2072"
"1052","důvěřovat","2071"
"1053","vyhledávat","2068"
"1054","kopat","2066"
"1055","potlačit","2066"
"1056","stahovat","2065"
"1057","protestovat","2059"
"1058","zaútočit","2054"
"1059","zhroutit","2052"
"1060","péci","2050"
"1061","dokládat","2049"
"1062","rozeznat","2048"
"1063","zpomalit","2043"
"1064","nadchnout","2039"
"1065","vypustit","2034"
"1066","skrýt","2030"
"1067","pronásledovat","2030"
"1068","prát","2028"
"1069","narušit","2026"
"1070","vynechat","2023"
"1071","posoudit","2022"
"1072","podnikat","2021"
"1073","rozložit","2019"
"1074","otřít","2018"
"1075","vyznat","2016"
"1076","chvět","2014"
"1077","připsat","2010"
"1078","vyděsit","2003"
"1079","zabírat","2002"
"1080","sázet","2001"
"1081","zahrnout","2000"
"1082","zabalit","2000"
"1083","otřást","1996"
"1084","vyhnat","1987"
"1085","zrodit","1977"
"1086","analyzovat","1977"
"1087","vzpamatovat","1975"
"1088","dominovat","1974"
"1089","mávnout","1970"
"1090","zapadnout","1969"
"1091","prozrazovat","1966"
"1092","spokojit","1959"
"1093","nabýt","1957"
"1094","vytahovat","1957"
"1095","vyptávat","1957"
"1096","pojmout","1956"
"1097","vyšetřovat","1955"
"1098","shodovat","1953"
"1099","posuzovat","1953"
"1100","proudit","1949"
"1101","sjet","1948"
"1102","zaváhat","1947"
"1103","usednout","1944"
"1104","nastávat","1940"
"1105","podniknout","1938"
"1106","shromáždit","1937"
"1107","vyrážet","1937"
"1108","zamračit","1936"
"1109","naplňovat","1934"
"1110","lovit","1933"
"1111","startovat","1929"
"1112","obléci","1929"
"1113","odrazit","1929"
"1114","porušit","1927"
"1115","vylučovat","1923"
"1116","zdržet","1921"
"1117","přesahovat","1915"
"1118","rozejít","1913"
"1119","ochutnat","1911"
"1120","mrknout","1910"
"1121","hlasovat","1909"
"1122","potýkat","1900"
"1123","zbláznit","1898"
"1124","naplánovat","1897"
"1125","přísahat","1897"
"1126","instalovat","1897"
"1127","zobrazovat","1896"
"1128","zařvat","1895"
"1129","zatáhnout","1894"
"1130","oblékat","1891"
"1131","srovnávat","1890"
"1132","zastupovat","1883"
"1133","přijíždět","1882"
"1134","obětovat","1882"
"1135","vyčistit","1873"
"1136","potkávat","1867"
"1137","doprovodit","1867"
"1138","pohřbít","1864"
"1139","vylepšit","1863"
"1140","poukazovat","1859"
"1141","odvádět","1857"
"1142","vzdychnout","1855"
"1143","přepadnout","1854"
"1144","chválit","1853"
"1145","darovat","1853"
"1146","zamávat","1846"
"1147","spravovat","1842"
"1148","počít","1842"
"1149","spálit","1840"
"1150","zaplnit","1840"
"1151","útočit","1838"
"1152","fotit","1838"
"1153","uvítat","1837"
"1154","upřesnit","1835"
"1155","kreslit","1835"
"1156","čistit","1834"
