"","lemma","transitive_rank","transitive_frequency","transitive_ipm","reflexive_rank","reflexive_frequency","reflexive_ipm","total_rank","total_frequency","total_ipm","refexivity"
"145","brát",25,11465,113.696576889113,290,1380,13.6852399569974,80,23660,234.632447378666,0.0583262890955199
"146","bratřit",11483,2,0.0198336810970977,4406,12,0.119002086582586,9516,23,0.228087332616623,0.521739130434783
"147","brávat",3422,77,0.763596722238261,7628,2,0.0198336810970977,4385,213,2.1122870368409,0.00938967136150235
"148","brebentit",6786,15,0.148752608228233,8683,1,0.00991684054854884,5673,121,1.19993770637441,0.00826446280991736
"149","brečet",3185,89,0.882598808820847,1870,90,0.892515649369396,982,2263,22.441810161366,0.0397702165267344
"150","brnknout",9379,5,0.0495842027427442,7288,3,0.0297505216456465,5549,128,1.26935559021425,0.0234375
"151","brodit",5873,22,0.218170492068075,695,449,4.45266140629843,2753,500,4.95842027427442,0.898
"152","brojit",9575,5,0.0495842027427442,4838,9,0.0892515649369396,5190,150,1.48752608228233,0.06
"153","brousit",1591,300,2.97505216456465,2397,55,0.545426230170186,2747,503,4.98817079592007,0.10934393638171
"154","brouzdat",8832,6,0.0595010432912931,2219,64,0.634677795107126,4715,183,1.81478182038444,0.349726775956284
"155","bručet",5743,24,0.238004173165172,7143,3,0.0297505216456465,3617,310,3.07422057005014,0.00967741935483871
"156","bruslit",7176,13,0.128918927131135,3033,32,0.317338897553563,3486,331,3.28247422156967,0.0966767371601208
"157","brzdit",1135,471,4.67083189836651,3053,32,0.317338897553563,1534,1227,12.1679633530694,0.026079869600652
"158","bubnovat",5315,29,0.287588375907917,4651,10,0.0991684054854885,3286,369,3.65931416241452,0.02710027100271
"159","bučet",8910,6,0.0595010432912931,7729,2,0.0198336810970977,6510,83,0.823097765529554,0.0240963855421687
"160","budit",388,1613,15.9958638048093,837,345,3.42130998924935,896,2525,25.0400223850858,0.136633663366337
"161","budovat",356,1764,17.4933067276402,799,365,3.61964680022033,760,3075,30.4942846867877,0.11869918699187
"162","bujet",5723,24,0.238004173165172,9222,1,0.00991684054854884,4221,230,2.28087332616623,0.00434782608695652
"163","bulit",11650,2,0.0198336810970977,7744,2,0.0198336810970977,6781,75,0.743763041141163,0.0266666666666667
"164","burcovat",3271,84,0.833014606078103,5788,5,0.0495842027427442,4394,212,2.10237019629236,0.0235849056603774
"165","bušit",3111,93,0.922266171015043,3088,31,0.307422057005014,1158,1831,18.1577350443929,0.0169306389950847
"166","buzerovat",6616,16,0.158669448776782,10448,1,0.00991684054854884,7267,61,0.60492727346148,0.0163934426229508
"167","bydlet",967,577,5.72201699651268,1563,128,1.26935559021425,181,12344,122.413479731287,0.0103694102397926
"168","bystřit",6198,19,0.188419970422428,6836,3,0.0297505216456465,9295,26,0.25783785426227,0.115384615384615
"169","být",4,35569,352.732101471334,262,1540,15.2719344447652,1,4044082,40104.5163592565,0.000380803356608496
"170","bývat",459,1375,13.6356557542547,1742,102,1.01151773595198,86,21456,212.775730809664,0.00475391498881432
"171","bzučet",3074,96,0.952016692660689,10495,1,0.00991684054854884,3311,363,3.59981311912323,0.00275482093663912
"172","cachtat",14167,1,0.00991684054854884,2875,36,0.357006259747758,8306,39,0.386756781393405,0.923076923076923
"173","cákat",5664,25,0.247921013713721,3947,16,0.158669448776782,6033,103,1.02143457650053,0.155339805825243
"174","cálovat",15452,1,0.00991684054854884,9945,1,0.00991684054854884,11721,10,0.0991684054854885,0.1
"175","capat",10260,4,0.0396673621941954,10168,1,0.00991684054854884,8131,42,0.416507303039051,0.0238095238095238
"176","cedit",4290,48,0.476008346330345,7750,2,0.0198336810970977,5908,109,1.08093561979182,0.018348623853211
